,time,marital,religious_attendance,age,gender,race,education,evangelical,political_views,affiliation,state,latino,intend_to_vote,registered_to_vote,preferred_candidate,vote_today_candidate,hc_pref,dt_pref,gj_pref,js_pref,id
91,2016/10/26 7:41:19 PM EST,Living with a partner,Never,33,Female,White,Four year college degree/bachelor’s degree,No,Very liberal,Something else,Arizona,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Satisfied,91
92,2016/10/26 7:41:33 PM EST,Divorced,Never,50,Female,White,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,Washington,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,92
93,2016/10/26 7:41:52 PM EST,Never been married,Never,33,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Very liberal,Democrat,South Carolina,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,93
94,2016/10/26 7:41:55 PM EST,Living with a partner,Once a week,33,Male,White,High school graduate or GED,Yes,Moderate,Independent,Texas,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Very dissatisfied,94
95,2016/10/26 7:41:56 PM EST,Never been married,Seldom,23,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Texas,No,No,I'm not registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,95
96,2016/10/26 7:41:56 PM EST,Married,A few times a year,24,Male,Latin American/Hispanic,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Texas,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Neutral,Satisfied,96
97,2016/10/26 7:42:15 PM EST,Never been married,Never,21,Male,White,Some college attendence,No,Moderate,Independent,California,No,Yes,I'm absolutely certain that I'm registered to vote,Kanye West,Kanye West,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,97
98,2016/10/26 7:42:16 PM EST,Living with a partner,Seldom,34,Male,White,High school graduate or GED,No,Conservative,Independent,Texas,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Neutral,Very dissatisfied,98
99,2016/10/26 7:42:17 PM EST,Married,Never,27,Male,White,High school graduate or GED,No,Very liberal,Democrat,Ohio,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Satisfied,Very dissatisfied,99
100,2016/10/26 7:42:22 PM EST,Never been married,Once a week,19,Male,Latin American/Hispanic,High school graduate or GED,No,Moderate,Independent,California,Yes,Probably,"I'm probably registered to vote, but there's a chance my registration has lasped",Gary Johnson (Libertarian),Gary Johnson (Libertarian),Dissatisfied,Dissatisfied,Satisfied,Neutral,100
101,2016/10/26 7:42:22 PM EST,Never been married,Never,23,Male,White,Some college attendence,No,Liberal,Democrat,Maryland,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,101
102,2016/10/26 7:42:23 PM EST,Married,Never,25,Female,White,Four year college degree/bachelor’s degree,No,Conservative,Democrat,New Hampshire,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,102
103,2016/10/26 7:43:11 PM EST,Married,Seldom,51,Female,Latin American/Hispanic,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Satisfied,Neutral,103
104,2016/10/26 7:43:26 PM EST,Married,Seldom,41,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Democrat,Utah,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Dissatisfied,Dissatisfied,104
105,2016/10/26 7:43:26 PM EST,Married,More than once a week,32,Male,White,Four year college degree/bachelor’s degree,Yes,Very conservative,Republican,Georgia,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Very dissatisfied,105
106,2016/10/26 7:43:34 PM EST,Married,Once or twice a month,31,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",Yes,Moderate,Independent,Virginia,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,106
107,2016/10/26 7:43:34 PM EST,Living with a partner,Never,33,Female,White,Some college attendence,No,Very liberal,Democrat,Michigan,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Neutral,107
108,2016/10/26 7:43:35 PM EST,Divorced,Never,39,Female,White,Some college attendence,No,Very liberal,Democrat,Tennessee,No,Probably,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Very satisfied,108
109,2016/10/26 7:43:39 PM EST,Married,Once a week,46,Female,Latin American/Hispanic,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Connecticut,Yes,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Satisfied,Very satisfied,109
110,2016/10/26 7:43:42 PM EST,Never been married,Never,43,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Moderate,Independent,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,110
111,2016/10/26 7:43:51 PM EST,Never been married,Once a week,28,Male,White,Four year college degree/bachelor’s degree,Yes,Very liberal,Democrat,California,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,Dissatisfied,Very dissatisfied,111
112,2016/10/26 7:43:52 PM EST,Never been married,Seldom,23,Male,White,Four year college degree/bachelor’s degree,No,Conservative,Something else,New Jersey,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Very satisfied,Dissatisfied,112
113,2016/10/26 7:43:53 PM EST,Never been married,Never,25,Male,White,High school graduate or GED,No,Moderate,Independent,Virginia,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Neutral,Dissatisfied,113
114,2016/10/26 7:43:54 PM EST,Never been married,Never,61,Male,White,Some college attendence,No,Conservative,Independent,Mississippi,No,Not very likely,I'm not registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Neutral,Very dissatisfied,114
115,2016/10/26 7:43:57 PM EST,Never been married,Never,43,Male,White,Some college attendence,No,Moderate,Independent,Nevada,No,Probably,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Neutral,Neutral,Neutral,115
116,2016/10/26 7:44:09 PM EST,Never been married,Never,21,Female,Asian or Asian-American,Some college attendence,No,Moderate,Democrat,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,116
117,2016/10/26 7:44:23 PM EST,Never been married,Never,39,Male,White,Some college attendence,No,Very liberal,Democrat,Indiana,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Jill Stein (Green),Very dissatisfied,Dissatisfied,Satisfied,Satisfied,117
118,2016/10/26 7:44:27 PM EST,Never been married,Never,36,Male,White,Four year college degree/bachelor’s degree,No,Moderate,Independent,Michigan,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),I have no preference about this candidate,Satisfied,Neutral,Neutral,118
119,2016/10/26 7:44:30 PM EST,Living with a partner,Seldom,28,Female,White,Some college attendence,No,Liberal,Democrat,Illinois,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,119
120,2016/10/26 7:44:49 PM EST,Never been married,A few times a year,22,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,California,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Satisfied,Dissatisfied,120
121,2016/10/26 7:44:52 PM EST,Living with a partner,Never,25,Male,Black or African-American,High school graduate or GED,No,Liberal,Independent,North Carolina,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Satisfied,Neutral,121
122,2016/10/26 7:44:55 PM EST,Divorced,Never,63,Female,White,Some college attendence,No,Conservative,Republican,Ohio,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Dissatisfied,Very dissatisfied,122
123,2016/10/26 7:44:56 PM EST,Married,Never,54,Female,White,High school graduate or GED,Yes,Conservative,Republican,Texas,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,I have no preference about this candidate,I have no preference about this candidate,123
124,2016/10/26 7:44:56 PM EST,Living with a partner,Seldom,22,Male,White,High school graduate or GED,No,Moderate,Republican,Texas,No,Not very likely,"I'm probably registered to vote, but there's a chance my registration has lasped",Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Neutral,Neutral,124
125,2016/10/26 7:44:59 PM EST,Never been married,Never,37,Male,Latin American/Hispanic,Four year college degree/bachelor’s degree,No,Liberal,Independent,New York,Yes,No,"I'm probably registered to vote, but there's a chance my registration has lasped",Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,125
126,2016/10/26 7:45:18 PM EST,Never been married,Never,40,Male,White,High school graduate or GED,No,Moderate,Independent,Tennessee,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Bernie Sanders,Neutral,Very dissatisfied,Neutral,Dissatisfied,126
127,2016/10/26 7:45:22 PM EST,Divorced,Never,38,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Democrat,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,127
128,2016/10/26 7:45:32 PM EST,Never been married,Never,32,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,128
129,2016/10/26 7:45:35 PM EST,Married,Never,30,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Liberal,Independent,Texas,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Dissatisfied,Neutral,Neutral,129
130,2016/10/26 7:45:59 PM EST,Never been married,Never,40,Male,White,High school graduate or GED,No,Very liberal,Democrat,Maine,No,Not very likely,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,130
131,2016/10/26 7:46:22 PM EST,Never been married,Never,25,Male,White,High school graduate or GED,No,Liberal,Democrat,New Mexico,No,No,I'm not registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Neutral,Dissatisfied,131
132,2016/10/26 7:46:32 PM EST,Married,Never,29,Female,White,Some college attendence,No,Very liberal,Democrat,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Bernie Sanders,Bernie Sanders,Very dissatisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,132
133,2016/10/26 7:46:35 PM EST,Never been married,Never,63,Female,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,133
134,2016/10/26 7:46:36 PM EST,Married,Never,30,Female,White,Four year college degree/bachelor’s degree,No,Moderate,Something else,Alabama,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Very satisfied,Very satisfied,134
135,2016/10/26 7:46:38 PM EST,Living with a partner,Never,31,Female,White,Four year college degree/bachelor’s degree,No,Very conservative,Republican,Massachusetts,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Neutral,I have no preference about this candidate,135
136,2016/10/26 7:46:46 PM EST,Married,Never,27,Female,White,Some college attendence,No,Moderate,Independent,Virginia,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,136
137,2016/10/26 7:47:00 PM EST,Divorced,A few times a year,45,Male,White,Four year college degree/bachelor’s degree,Yes,Moderate,Independent,Maryland,No,Probably,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Neutral,Very dissatisfied,Satisfied,Neutral,137
138,2016/10/26 7:47:14 PM EST,Never been married,Never,37,Female,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Liberal,Democrat,California,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,138
139,2016/10/26 7:47:14 PM EST,Never been married,Never,24,Female,Black or African-American,Four year college degree/bachelor’s degree,No,Liberal,Independent,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Neutral,Very satisfied,139
140,2016/10/26 7:47:25 PM EST,Never been married,Never,32,Male,White,Some college attendence,No,Moderate,Independent,Texas,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Dissatisfied,Very dissatisfied,140
141,2016/10/26 7:47:26 PM EST,Never been married,Once a week,39,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",Yes,Very liberal,Democrat,California,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,141
142,2016/10/26 7:47:37 PM EST,Divorced,A few times a year,51,Male,White,Some college attendence,Yes,Conservative,Democrat,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Satisfied,142
143,2016/10/26 7:47:42 PM EST,Married,Seldom,42,Male,White,Four year college degree/bachelor’s degree,Yes,Conservative,Republican,Mississippi,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Neutral,Neutral,143
144,2016/10/26 7:47:55 PM EST,Never been married,Never,25,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Democrat,Kansas,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,144
145,2016/10/26 7:47:56 PM EST,Never been married,Never,28,Male,Latin American/Hispanic,Some college attendence,No,Moderate,Independent,California,Yes,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,145
146,2016/10/26 7:48:00 PM EST,Married,Seldom,36,Female,Asian or Asian-American,Some college attendence,No,Conservative,Democrat,Delaware,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,Very dissatisfied,Very dissatisfied,146
147,2016/10/26 7:48:18 PM EST,Never been married,Never,31,Female,White,Some college attendence,No,Liberal,Independent,Arizona,No,Yes,I'm absolutely certain that I'm registered to vote,bernie sanders,Hillary Clinton (Democrat),Neutral,Very dissatisfied,Neutral,Neutral,147
148,2016/10/26 7:48:21 PM EST,Divorced,Never,33,Male,White,Some college attendence,No,Moderate,Independent,California,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Dissatisfied,Neutral,Satisfied,148
149,2016/10/26 7:48:30 PM EST,Married,Once or twice a month,27,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Conservative,Republican,California,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Neutral,Dissatisfied,149
150,2016/10/26 7:48:36 PM EST,Never been married,Never,41,Male,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Ohio,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Dissatisfied,150
151,2016/10/26 7:48:41 PM EST,Never been married,Once a week,25,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,I can't place myself on this spectrum,Independent,Iowa,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Neutral,Neutral,151
152,2016/10/26 7:48:48 PM EST,Living with a partner,Seldom,29,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Very liberal,Democrat,South Carolina,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,152
153,2016/10/26 7:48:56 PM EST,Never been married,Once a week,29,Female,White,Some college attendence,Yes,Very conservative,Republican,Minnesota,No,Yes,I'm absolutely certain that I'm registered to vote,Is starting over and banning all of them from running again an option?,Donald Trump (Republican),Very dissatisfied,Neutral,Very dissatisfied,Very dissatisfied,153
154,2016/10/26 7:49:11 PM EST,Never been married,Never,60,Male,White,Four year college degree/bachelor’s degree,No,Moderate,Independent,Rhode Island,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Dissatisfied,Dissatisfied,Dissatisfied,154
155,2016/10/26 7:49:13 PM EST,Never been married,Seldom,32,Male,White,Four year college degree/bachelor’s degree,No,Moderate,Something else,Ohio,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Satisfied,Satisfied,155
156,2016/10/26 7:49:15 PM EST,Living with a partner,Never,25,Female,White,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,Iowa,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,156
157,2016/10/26 7:49:20 PM EST,Never been married,Never,27,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Liberal,Independent,California,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Satisfied,157
158,2016/10/26 7:49:21 PM EST,Living with a partner,Never,26,Female,White,Some college attendence,No,Liberal,Independent,Michigan,No,Yes,I'm absolutely certain that I'm registered to vote,Bernie Sanders,Donald Trump (Republican),Very dissatisfied,Neutral,Dissatisfied,Satisfied,158
159,2016/10/26 7:49:22 PM EST,Never been married,Never,27,Male,White,High school graduate or GED,No,Moderate,Independent,Oregon,No,No,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,159
160,2016/10/26 7:49:38 PM EST,Married,Seldom,34,Male,White,Some college attendence,Yes,Liberal,Democrat,Georgia,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Neutral,Neutral,160
161,2016/10/26 7:49:46 PM EST,Never been married,Never,20,Female,White,Some college attendence,No,Very liberal,Democrat,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Satisfied,161
162,2016/10/26 7:49:58 PM EST,Never been married,Never,33,Male,White,High school graduate or GED,No,Moderate,Independent,Kentucky,No,No,"I'm probably registered to vote, but there's a chance my registration has lasped",Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,162
163,2016/10/26 7:50:07 PM EST,Never been married,Once a week,27,Male,Asian or Asian-American,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",Yes,Conservative,Republican,Washington,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Dissatisfied,Dissatisfied,163
164,2016/10/26 7:50:07 PM EST,Never been married,Never,30,Male,White,High school graduate or GED,No,Moderate,Something else,Alabama,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Very satisfied,Neutral,164
165,2016/10/26 7:50:18 PM EST,Never been married,Never,45,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Moderate,Independent,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Neutral,I have no preference about this candidate,I have no preference about this candidate,165
166,2016/10/26 7:50:22 PM EST,Never been married,Never,26,Male,White,Some college attendence,No,Moderate,Independent,Ohio,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Dissatisfied,Dissatisfied,166
167,2016/10/26 7:50:37 PM EST,Never been married,Seldom,28,Female,Latin American/Hispanic,Four year college degree/bachelor’s degree,No,Very conservative,Independent,California,Yes,Probably,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Neutral,Satisfied,I have no preference about this candidate,167
168,2016/10/26 7:50:42 PM EST,Married,Once a week,53,Female,White,High school graduate or GED,No,Liberal,Democrat,Pennsylvania,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,168
169,2016/10/26 7:50:51 PM EST,Never been married,Never,26,Male,Asian or Asian-American,Some college attendence,No,Liberal,Democrat,Texas,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Donald Trump (Republican),Very dissatisfied,Dissatisfied,Dissatisfied,Satisfied,169
170,2016/10/26 7:50:59 PM EST,Never been married,Seldom,22,Male,White,Some college attendence,No,Very liberal,Democrat,Washington,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Dissatisfied,Very dissatisfied,Very dissatisfied,Very satisfied,170
171,2016/10/26 7:51:01 PM EST,Never been married,Never,23,Male,White,Four year college degree/bachelor’s degree,No,Very conservative,Republican,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Neutral,171
172,2016/10/26 7:51:14 PM EST,Living with a partner,Never,25,Female,White,High school graduate or GED,No,Very liberal,Democrat,Texas,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,172
173,2016/10/26 7:51:41 PM EST,Married,Once a week,56,Male,White,Four year college degree/bachelor’s degree,Yes,Conservative,Republican,California,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Neutral,Neutral,Dissatisfied,173
174,2016/10/26 7:51:56 PM EST,Never been married,Never,22,Male,White,High school graduate or GED,No,Conservative,Republican,Michigan,No,Probably,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Satisfied,I have no preference about this candidate,174
175,2016/10/26 7:51:58 PM EST,Never been married,Never,32,Female,White,Four year college degree/bachelor’s degree,No,Conservative,Independent,Michigan,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Neutral,Neutral,175
176,2016/10/26 7:52:22 PM EST,Never been married,Never,31,Female,White,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,Florida,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,176
177,2016/10/26 7:52:43 PM EST,Living with a partner,Never,36,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,California,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Satisfied,Very satisfied,177
178,2016/10/26 7:52:49 PM EST,Separated,A few times a year,30,Male,White,Four year college degree/bachelor’s degree,No,Moderate,Democrat,Maryland,Yes,Probably,"I'm probably registered to vote, but there's a chance my registration has lasped",Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,Dissatisfied,Neutral,178
179,2016/10/26 7:52:55 PM EST,Never been married,Never,55,Male,White,Some college attendence,No,Very liberal,Democrat,Minnesota,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Donald Trump (Republican),Satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,179
180,2016/10/26 7:52:55 PM EST,Married,Never,41,Female,White,Some college attendence,No,Moderate,Democrat,Michigan,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Neutral,Neutral,180
181,2016/10/26 7:53:06 PM EST,Married,Never,37,Female,White,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,Utah,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Satisfied,Satisfied,181
182,2016/10/26 7:53:12 PM EST,Living with a partner,Never,30,Male,White,Some college attendence,No,Very liberal,Democrat,Virginia,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Neutral,182
